Experiment,Load_Factor,Algorithm,Drop_Rate,Avg_Latency_us,P99_Latency_us,Retries,Delivered,Buffer_Size,Raw_Latency_us
CDF_Raw,,ECMP,,,,,,,98.464
CDF_Raw,,ECMP,,,,,,,98.464
CDF_Raw,,ECMP,,,,,,,98.464
CDF_Raw,,ECMP,,,,,,,98.464
CDF_Raw,,ECMP,,,,,,,98.49600000000004
CDF_Raw,,ECMP,,,,,,,98.592
CDF_Raw,,ECMP,,,,,,,98.592
CDF_Raw,,ECMP,,,,,,,98.592
CDF_Raw,,ECMP,,,,,,,98.592
CDF_Raw,,ECMP,,,,,,,98.62400000000004
CDF_Raw,,ECMP,,,,,,,98.71999999999998
CDF_Raw,,ECMP,,,,,,,98.71999999999998
CDF_Raw,,ECMP,,,,,,,98.71999999999998
CDF_Raw,,ECMP,,,,,,,98.71999999999998
CDF_Raw,,ECMP,,,,,,,98.75200000000004
CDF_Raw,,ECMP,,,,,,,98.84799999999998
CDF_Raw,,ECMP,,,,,,,98.84799999999998
CDF_Raw,,ECMP,,,,,,,98.84799999999998
CDF_Raw,,ECMP,,,,,,,98.84799999999998
CDF_Raw,,ECMP,,,,,,,98.88000000000002
CDF_Raw,,ECMP,,,,,,,98.97599999999998
CDF_Raw,,ECMP,,,,,,,98.97599999999998
CDF_Raw,,ECMP,,,,,,,98.97599999999998
CDF_Raw,,ECMP,,,,,,,98.97599999999998
CDF_Raw,,ECMP,,,,,,,99.00800000000002
CDF_Raw,,ECMP,,,,,,,99.13600000000002
CDF_Raw,,ECMP,,,,,,,99.26400000000002
CDF_Raw,,ECMP,,,,,,,99.39200000000001
CDF_Raw,,ECMP,,,,,,,99.52000000000001
CDF_Raw,,ECMP,,,,,,,99.64800000000001
CDF_Raw,,ECMP,,,,,,,99.776
CDF_Raw,,ECMP,,,,,,,99.904
CDF_Raw,,ECMP,,,,,,,100.032
CDF_Raw,,ECMP,,,,,,,101.11200000000004
CDF_Raw,,ECMP,,,,,,,101.11200000000004
CDF_Raw,,ECMP,,,,,,,101.24000000000004
CDF_Raw,,ECMP,,,,,,,101.24000000000004
CDF_Raw,,ECMP,,,,,,,101.36800000000004
CDF_Raw,,ECMP,,,,,,,101.36800000000004
CDF_Raw,,ECMP,,,,,,,101.49600000000004
CDF_Raw,,ECMP,,,,,,,101.49600000000004
CDF_Raw,,ECMP,,,,,,,101.62400000000002
CDF_Raw,,ECMP,,,,,,,101.62400000000002
CDF_Raw,,ECMP,,,,,,,101.75200000000002
CDF_Raw,,ECMP,,,,,,,101.75200000000002
CDF_Raw,,ECMP,,,,,,,101.88000000000002
CDF_Raw,,ECMP,,,,,,,101.88000000000002
CDF_Raw,,ECMP,,,,,,,102.00800000000001
CDF_Raw,,ECMP,,,,,,,102.00800000000001
CDF_Raw,,ECMP,,,,,,,102.13600000000001
CDF_Raw,,ECMP,,,,,,,102.13600000000001
CDF_Raw,,ECMP,,,,,,,102.26400000000001
CDF_Raw,,ECMP,,,,,,,102.26400000000001
CDF_Raw,,ECMP,,,,,,,102.39200000000001
CDF_Raw,,ECMP,,,,,,,102.39200000000001
CDF_Raw,,ECMP,,,,,,,102.52
CDF_Raw,,ECMP,,,,,,,102.52
CDF_Raw,,ECMP,,,,,,,102.648
CDF_Raw,,ECMP,,,,,,,102.648
CDF_Raw,,ECMP,,,,,,,102.776
CDF_Raw,,ECMP,,,,,,,102.776
CDF_Raw,,ECMP,,,,,,,102.90399999999998
CDF_Raw,,ECMP,,,,,,,102.90399999999998
